,Latitude,Longitude,Borough,Neighborhood,price1,price2,price3,price4
0,40.59951870282238,-73.99875221443519,Brooklyn,Bath Beach,39,24,0,0
0,40.633130512758015,-73.99049823044811,Brooklyn,Borough Park,20,8,2,0
0,40.619219457722636,-74.01931375636022,Brooklyn,Dyker Heights,32,16,4,0
0,40.590848433902046,-73.93010170691196,Brooklyn,Gerritsen Beach,19,9,2,0
0,40.609747779894604,-73.93134404108497,Brooklyn,Marine Park,26,8,3,1
0,40.693229421881504,-73.96784306216367,Brooklyn,Clinton Hill,34,58,8,0
0,40.57637537890224,-74.0078731120024,Brooklyn,Sea Gate,2,2,0,0
0,40.69084402109802,-73.98346337431099,Brooklyn,Downtown,55,53,13,0
0,40.685682912091444,-73.98374824115798,Brooklyn,Boerum Hill,52,74,16,0
0,40.658420017469815,-73.95489867077713,Brooklyn,Prospect Lefferts Gardens,46,25,5,0
0,40.678402554795355,-73.91306831787395,Brooklyn,Ocean Hill,35,6,1,0
0,40.67856995727479,-73.86797598081334,Brooklyn,City Line,27,5,2,1
0,40.61514955045308,-73.89855633630317,Brooklyn,Bergen Beach,3,3,1,0
0,40.62559589869843,-73.95759523489838,Brooklyn,Midwood,23,12,0,0
0,40.647008603185185,-73.96261316716048,Brooklyn,Prospect Park South,40,35,2,0
0,40.62384524478419,-73.91607483951324,Brooklyn,Georgetown,21,15,5,0
0,40.70849241041548,-73.93885815269195,Brooklyn,East Williamsburg,56,56,4,1
0,40.714822906532014,-73.95880857587582,Brooklyn,North Side,49,84,20,3
0,40.71086147265064,-73.95800095153331,Brooklyn,South Side,54,77,19,3
0,40.61305976667942,-73.96836678035541,Brooklyn,Ocean Parkway,32,15,4,3
0,40.61476812694226,-74.03197914537984,Brooklyn,Fort Hamilton,32,30,10,1
0,40.71561842231432,-73.99427936255978,Manhattan,Chinatown,56,74,28,5
0,40.85190252555305,-73.93690027985234,Manhattan,Washington Heights,45,35,9,0
0,40.86768396449915,-73.92121042203897,Manhattan,Inwood,46,34,12,1
0,40.823604284811935,-73.94968791883366,Manhattan,Hamilton Heights,57,34,9,1
0,40.8169344294978,-73.9573853935188,Manhattan,Manhattanville,31,30,11,0
0,40.81597606742414,-73.94321112603905,Manhattan,Central Harlem,35,30,16,1
0,40.79224946663033,-73.94418223148524,Manhattan,East Harlem,66,38,9,1
0,40.775638573301805,-73.96050763135,Manhattan,Upper East Side,41,59,22,10
0,40.775929849884875,-73.94711784471826,Manhattan,Yorkville,64,80,22,2
0,40.76811265828733,-73.9588596881376,Manhattan,Lenox Hill,35,65,21,13
0,40.76215960576283,-73.94916769227953,Manhattan,Roosevelt Island,24,26,7,3
0,40.787657998534854,-73.97705923630603,Manhattan,Upper West Side,44,65,16,0
0,40.77352888942166,-73.98533777001262,Manhattan,Lincoln Square,29,57,26,5
0,40.75910089146212,-73.99611936309479,Manhattan,Clinton,32,59,19,4
0,40.75469110270623,-73.98166882730304,Manhattan,Midtown,31,52,26,17
0,40.748303077252174,-73.97833207924127,Manhattan,Murray Hill,36,73,26,15
0,40.744034706747975,-74.00311633472813,Manhattan,Chelsea,27,46,29,5
0,40.72693288536128,-73.99991402945902,Manhattan,Greenwich Village,37,56,46,7
0,40.727846777270244,-73.98222616506416,Manhattan,East Village,52,78,30,6
0,40.71780674892765,-73.98089031999291,Manhattan,Lower East Side,56,78,21,3
0,40.721521967443216,-74.01068328559087,Manhattan,Tribeca,33,42,29,4
